,accuracy,precision,recall,f1,roc_auc,cv_roc_auc_mean,cv_roc_auc_std
Random Forest,0.9019607843137255,0.7058823529411765,0.4444444444444444,0.5454545454545454,0.9156727348817744,0.8757686285345858,0.040796694880793266
Gradient Boosting,0.8823529411764706,0.5714285714285714,0.4444444444444444,0.5,0.8863779033270558,0.8675089803813207,0.03714972241045659
Regressão Logística,0.7892156862745098,0.35714285714285715,0.7407407407407407,0.4819277108433735,0.8836576689684035,0.882899511835682,0.025246043476854798
